run_id,ngl,n_depth,threads,kv_type,ubatch,spec_n_max,pp_tps,tg_tps,eff_tps,status,secs
12,56,3072,8,q4_1,256,2,53.22953832882238,7.373071340859544,17.320834938537615,OK,56.446022748947144
19,60,9216,8,q4_1,1024,1,28.94797455641386,6.845597489211215,13.942545136525325,OK,394.9081120491028
1,48,0,8,f16,256,1,82.54057670277761,6.245888958154654,16.274644946786946,OK,169.4311134815216
9,52,9216,8,q4_0,256,4,99.30511632213965,11.027347613564274,27.07004955372162,OK,165.83218622207642
8,52,6144,8,f16,1024,5,114.19357741036526,9.503190424453145,24.441523681289034,OK,51.90757966041565
2,48,3072,8,q4_0,1536,5,114.14626829355414,7.390006043036611,19.62846387863536,OK,30.62214207649231
17,60,3072,8,f16,512,3,116.10383937699699,15.835339778286995,37.32464350484303,OK,26.12091827392578
20,60,12288,8,q8_0,256,5,97.43362621663664,10.304320435501936,25.515961286572093,OK,195.62246417999268
10,52,12288,8,q4_1,1536,3,21.82588823056019,5.149295657997084,10.495542939584327,OK,626.1835675239563
7,52,3072,8,q5_1,2048,1,51.45483699234397,6.358711103378958,15.295695401215562,OK,59.36848163604736
22,64,3072,8,q8_0,1024,4,148.3351266201316,21.73185296534088,50.42153466366735,OK,20.226721048355103
4,48,9216,8,q8_0,2048,3,126.79915409676376,9.254025292026808,24.225968318568082,OK,167.5477020740509
25,64,12288,8,q4_0,512,1,110.7964799412639,11.179707623094638,27.907264255952732,OK,174.3824646472931
11,56,0,8,q4_0,1024,3,97.4228376988043,10.057155116281498,25.00817676409805,OK,105.15685987472534
6,52,0,8,q8_0,512,2,98.48474189962998,8.396657091108152,21.5203821406486,OK,126.3143961429596
3,48,6144,8,q4_1,512,4,35.342326855115836,7.175408547809387,15.309695506511973,OK,149.39750814437866
23,64,6144,8,q5_1,256,3,34.52360679566026,11.298070141088019,20.485916923049217,OK,147.897803068161
13,56,6144,8,q8_0,1536,1,136.1146747649489,9.451817575749871,24.89766033356123,OK,44.920777797698975
16,60,0,8,q5_1,1536,4,99.72485616503899,11.065647582856954,27.167773678773454,OK,94.28570938110352
15,56,12288,8,f16,2048,4,111.66517555127867,9.919222739897071,25.26846956528568,OK,188.1526427268982
